Techstack,Links
"Python, Flask, Django",https://vinit-lathiwala.vercel.app/
"Machine Learning, Python, TensorFlow",https://github.com/Vinitv38/Covid-19-detection-using-Deep-Learning
"AI Chatbot, Flask, FastAPI",https://github.com/Vinitv38/Food-ChatBot
"Frontend, HTML5, CSS3, JavaScript",
"Backend, Python, Django, Flask",
"DevOps, AWS (Lambda, S3), Docker",
"Stock Analysis, Yahoo Finance API, AI",https://github.com/Vinitv38/StockBot-Advisor
GitHub Profile,https://github.com/Vinitv38
LinkedIn Profile,http://www.linkedin.com/in/vinit-lathiwala/
Portfolio,https://vinit-lathiwala.vercel.app/
